"address","score","vouch"
"0x1466D84CB04940A504574AB02D130a8F3185839c",24692.16037902112,527
"0x67CE139C5DCC845F08CE4b4E25B96B005f326B9B",13964.425974705764,298
"0x96e1D9132e9Dee088cd79cc664316a16dFe490C6",13387.034228354802,286
"0x1007A39088C22A4dfe54032F08fC47A7303603Df",9138.651695696997,195
"0xd0f46a5d48596409264d4eFc1f3B229878fFf743",6440.807352519106,138
"0x3db00D1334B5faDd2A897D8A702cDCbb6F159D87",5050.270760821699,108
"0xb19BC46C52A1352A071fe2389503B6FE1ABD50Ff",2655.92108828003,57
"0xE21723C250D06F5eE67bc9AdEF211B65E6099263",2574.0711318157505,55
"0xBABEEbC4f9dEbc9DA0ABf1Bbe5680554F8c97438",2063.0612107630723,44
"0x8d07D225a769b7Af3A923481E1FdF49180e6A265",1978.614681290699,43
"0x943F9FAe1C7C40Bb71E0484d3349A55f3268Ba72",1681.3911542768183,36
"0x224aBa5D489675a7bD3CE07786FAda466b46FA0F",1665.5740340072762,36
"0xFf32A474f5AB9B209F2292CA6E97e685e726725F",1320.6661189311933,29
"0xb8150a1B6945e75D05769D685b127b41E6335Bbc",1296.4798446788734,28
"0xcCE9A28b570946123f392Cf1DbfA6D2D5e636a1f",920.3230772400171,20
"0x1F06592d660D41D2a1dF41bA074406a3dbDf1aB8",893.1040868454669,20
"0x4EE9267083C79030832886Fe668177A4D99E813b",626.6702586381565,14
"0xAdC24d7b630759A3AF7f52716d91299c999a2213",419.5607694582092,9
"0x8c580556Fdb1f57853e49F409Ae9b89f7658e7A2",418.1510969159823,9
"0xB894b00a5Bf20F1a781dC61F06923bE55ACFfDad",326.8258090901679,7
"0xd3e3b95ed0edc914Bf0A0d78ac758d735392A3a4",321.95427796719,7
"0x684f49bc1e04339d84F2370f14Dc1491A3B4F113",305.46178347833376,7
"0x5A1b8d6A57445deCED8F816310fDB0aA6367cf10",305.3921278113047,7
"0x307D79DaE9A485D4D63e9A6B530C91E8eFDE2366",257.2508789798127,6
"0x9C5dDe694EF0b1c17a7EF6ae2E58b7Ed8B1Bd56F",193.1279259644236,5
"0x033c6728cE67510feaE338BB1d2ceD699A6a27a4",178.57142857142858,4
"0x99Fa48ccEa8a38CDE6B437450fF9bBdDAFAA4Fc8",176.53182582636077,4
"0x13f7b24bc1a3dE268814c0bB709CD5E6E296765C",117.93271209968171,3
"0x13ebd3443fa5575F0Eb173e323D8419F7452CfB1",111.15198802737716,3
"0xCED608Aa29bB92185D9b6340Adcbfa263DAe075b",105.26315789473684,3
"0x3197e105Bac6735B2f593A265f6147f133ece255",85.79507114103802,2
"0x3c6DfB5D608c4849d289d81d8bfcCBD48d86d0a8",60.197831108712116,2
"0xf6fDeE29e3A14610fdbE187e2d3442543cfA45B8",28.188865398167724,1
"0xd0130E1E74651539675A04e202d35D30F226cF20",14.285714285714285,1
"0xfB1D7F6c700A053683f80447B387A891D5f76aaC",14.094432699083862,1
"0x6094Fb01F02BB47db10DD7c61c4320fd185D27f3",7.047216349541931,1
"0xD4e6fd78c21085d01DBd596d287360d746Acf4d8",2.8188865398167726,1
"0x8b67e17597e7dCA9Dd9ec18d96524565BD18b755",0.6053451980992162,1
"0xDed86dB976fc9aE590B75D52b53212f586A45DB2",0.5637773079633545,1
